"","Isolate","host_species","plate_no","pCC_greater","pCC_less","pGR_greater","pGR_less","ccEffect","grEffect","annotation"
"29","112D3","scenedesmus",12,0.501885609389241,0.498114390610759,0.000393665711206854,0.999606334288793,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"30","113,1DF","monoraphidium",19,0.065724723592882,0.934275276407118,0.995936980005428,0.00406301999457197,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"31","113,2DF","monoraphidium",19,0.0496962940870616,0.950303705912938,0.976141747532161,0.0238582524678389,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"32","113,3DF","monoraphidium",19,0.00175942211584014,0.99824057788416,0.349962789260191,0.650037210739809,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"33","113D3","scenedesmus",10,0.00232790741230658,0.997672092587693,0.00447972468024644,0.995520275319754,"Increased CC","Increased GR","Increased CC
Increased GR"
"34","114DF","monoraphidium",19,0.200113596242666,0.799886403757334,0.95991405863472,0.0400859413652799,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"35","115D3","scenedesmus",10,0.000884228521542865,0.999115771478457,0.026464038970416,0.973535961029584,"Increased CC","Increased GR","Increased CC
Increased GR"
"36","115DF","monoraphidium",16,0.0364532287623646,0.963546771237635,0.98381234875362,0.0161876512463796,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"37","116D3","scenedesmus",12,0.219368237487613,0.780631762512387,0.000359136336034521,0.999640863663966,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"38","116DF","monoraphidium",16,0.160634269636988,0.839365730363012,0.849071215838653,0.150928784161347,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"39","117,1DF","monoraphidium",17,0.00763612317376071,0.992363876826239,0.876208935920998,0.123791064079002,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"40","117D3","scenedesmus",10,0.00874099523786733,0.991259004762133,0.042895709028403,0.957104290971597,"Increased CC","Increased GR","Increased CC
Increased GR"
"41","117DF","monoraphidium",16,0.0340045266848649,0.965995473315135,0.736517886618829,0.263482113381171,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"42","118D3","scenedesmus",11,0.100516836166661,0.899483163833339,0.163837404395493,0.836162595604507,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"43","118DF","monoraphidium",16,0.0800322279571821,0.919967772042818,0.929309076437376,0.0706909235626237,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"44","119D3","scenedesmus",11,0.189469164684982,0.810530835315018,0.0258458419260117,0.974154158073988,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"45","119DF","monoraphidium",19,0.999930527325439,6.94726745610047e-05,0.0514096511249615,0.948590348875038,"Decreased CC","No Significant GR Change","Decreased CC
No Significant GR Change"
"46","11DF","chlorella",1,0.000547401327993818,0.999452598672006,0.0873088524502622,0.912691147549738,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"47","12,1DF","chlorella",1,0.009553741105466,0.990446258894534,0.058408043207906,0.941591956792094,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"48","120D3","scenedesmus",11,0.00121957732662138,0.998780422673379,0.998248621672891,0.0017513783271092,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"49","120DF","monoraphidium",18,0.000156202327317445,0.999843797672683,0.986394055564197,0.0136059444358026,"Increased CC","Decreased GR","Increased CC
Decreased GR"
"50","121D3","scenedesmus",12,0.255001329279945,0.744998670720055,0.043202179066424,0.956797820933576,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"51","121DF","monoraphidium",18,0.172997950868604,0.827002049131396,0.537340479567676,0.462659520432324,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"52","122D3","scenedesmus",11,0.985703200843194,0.014296799156806,0.0223259804489353,0.977674019551065,"Decreased CC","Increased GR","Decreased CC
Increased GR"
"53","122DF","selenastrum",25,0.122893959283081,0.877106040716919,0.999999975931891,2.40681094108518e-08,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"54","123D3","scenedesmus",11,0.00273588374628728,0.997264116253713,0.00725255122000317,0.992747448779997,"Increased CC","Increased GR","Increased CC
Increased GR"
"55","123DF","selenastrum",23,0.139094519091678,0.860905480908322,0.91880208078147,0.0811979192185297,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"56","124,1DF","selenastrum",25,0.17571444330744,0.82428555669256,0.777165024869181,0.222834975130819,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"57","124,2DF","selenastrum",22,0.00192009572106506,0.998079904278935,0.78152531034333,0.21847468965667,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change"
"58","124,3DF","selenastrum",23,0.898663406609524,0.101336593390476,0.0185536926968889,0.981446307303111,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"59","124,4DF","selenastrum",22,0.0702527191033527,0.929747280896647,0.910603035977667,0.0893969640223329,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"60","124D3","scenedesmus",11,1.6851466070062e-06,0.999998314853393,0.000685317387613014,0.999314682612387,"Increased CC","Increased GR","Increased CC
Increased GR"
"61","125D3","scenedesmus",12,0.440783239749277,0.559216760250723,0.0609008772161679,0.939099122783832,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"62","125DF","selenastrum",21,0.550045378644591,0.449954621355409,0.999744149687327,0.000255850312672777,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"63","126D3","scenedesmus",12,0.26018590944211,0.73981409055789,0.0525051855775475,0.947494814422453,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change"
"64","126DF","selenastrum",25,0.087602561622691,0.912397438377309,0.964777120444221,0.0352228795557793,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"65","127,1D3","scenedesmus",13,0.999935004650241,6.49953497585931e-05,0.0187069074360803,0.98129309256392,"Decreased CC","Increased GR","Decreased CC
Increased GR"
"66","127.1D3","scenedesmus",11,0.46128246222974,0.53871753777026,0.0309028107529607,0.969097189247039,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"67","127D3","scenedesmus",12,0.449838116945185,0.550161883054815,0.00105752200006177,0.998942477999938,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR"
"68","127DF","selenastrum",21,0.120559448354836,0.879440551645164,0.963023448659253,0.0369765513407466,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR"
"69","128,1DF","selenastrum",22,0.0037952081438424,0.996204791856158,0.996032178074804,0.0039678219251959,"Increased CC","Decreased GR","Increased CC
Decreased GR"
