"otu","Isolate","count","totalReads","otuMatches","numOTUs","mixed","Domain","Phylum","Class","Order","Family","Genus"
"Otu14657","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu00581","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu00933","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu08178","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu00839","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu00839","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu06959","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"Otu08520","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Proteobacteria","Deltaproteobacteria","Deltaproteobacteria_unclassified","Deltaproteobacteria_unclassified","Deltaproteobacteria_unclassified"
"Otu17735","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcales_unclassified","Myxococcales_unclassified"
"Otu23346","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcales_unclassified","Myxococcales_unclassified"
"Otu00960","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcales_unclassified","Myxococcales_unclassified"
"Otu00960","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcales_unclassified","Myxococcales_unclassified"
"Otu12412","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu06552","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu25811","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu17932","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","Smithella"
"Otu04852","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","Syntrophaceae_unclassified"
"Otu20515","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","Syntrophaceae_unclassified"
"Otu00823","P2D0sepR2,022um",2,941,218,218,TRUE,"Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","Smithella"
"Otu01086","P3D0sepR1,022um",1,923,126,126,TRUE,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"Otu01086","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"Otu04991","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"Otu02207","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu16304","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu09678","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"Otu04928","P3D0sepR1,022um",1,923,126,126,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu07412","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu25801","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu24493","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu04865","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu27352","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu20916","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu24538","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu18463","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu01103","P2D0sepR2,022um",1,941,218,218,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu26262","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"Otu10312","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu13740","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu14019","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu19736","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu13617","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu13365","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu18395","P3D0sepR1,022um",1,923,126,126,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu19109","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
